Course_ID,Course Name,Duration,Track,Difficulty Level,Course Rating,Course URL,Course Description,Skills,Done
1,Retrieve Data using Single-Table SQL Queries,04:20:39,Data Analysis / Database Management,Beginner,4.6,https://www.youtube.com/watch?v=HXV3zeQKqGY,"In this course you�ll learn how to effectively retrieve data from a relational database table using the SQL language.   We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone stores your contacts�   names, addresses, email addresses, and phone numbers in a database. If you shop online, you�re viewing photos, descriptions, and prices of products that are stored in a database. Database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. It�s important to note that the main reason they go to all that work is so that we can get the data back out again when we need it! That�s called �data retrieval�.   Data is retrieved or read from a relational database by using a language called SQL to query (or question) the database. SQL is referred to as �the language of relational databases�. It can be used by itself or embedded in programs to retrieve data. Once the data is retrieved, it can be displayed on a web page or PC application, or even printed on paper.   You�ll be practicing writing SQL queries using SQLiteStudio.   Next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it�s likely that an SQL query was used behind the scenes to fetch that data and pop it up on your screen. By the end of this course, you�ll even have a pretty good idea what the query might have looked like!  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Data Analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  Databases  web page  numbers (spreadsheet)  SQL information-technology data-management,TRUE
2,Hacking and Patching,12:16:54,Cybersecurity / Ethical Hacking,Advanced,3.4,https://www.youtube.com/watch?v=fNzpcB7ODxQ,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.   You will learn how to search valuable information on a typical Linux systems with LAMP services, and deposit and hide Trojans for future exploitation.  You will learn how to patch these web apps with input validation using regular expression. You will learn a security design pattern to avoid introducing injection vulnerabilities by input validation and replacing generic system calls with specific function calls.  You will learn how to hack web apps with SQL injection vulnerabilities and retrieve user profile information and passwords.  You will learn how to patch them with input validation and SQL parameter binding.  You will learn the hacking methodology, Nessus tool for scanning vulnerabilities, Kali Linux for penetration testing, and Metasploit Framework for gaining access to vulnerable Windows Systems, deploying keylogger, and perform Remote VNC server injection.  You will learn security in memory systems and virtual memory layout, and understand buffer overflow attacks and their defenses.  You will learn how to clone a Kali instance with AWS P2 GPU support and perform hashcat password cracking using dictionary attacks and known pattern mask attacks.",Security Design  design pattern  web application  internet security  SQL  select (sql)  metasploit project  penetration test  security  password cracking computer-science computer-security-and-networks,TRUE
3,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,00:08:33,Cloud Computing / Backend Development,Advanced,5,https://youtu.be/dWfng4qJYMU?si=0Q5bDrS-58REiu3X,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful API & AWS desktop management console to deploy the RESTful API to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your API applications & also, monitoring your AWS servers using Elastic Beanstalk Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",representational state transfer  uniform resource locator  Cloud Computing  web application  ordered pair  hypertext transfer protocol  virtual private server  web  application programming interfaces  Switches information-technology cloud-computing,TRUE
4,Cryptography and Hashing Overview,00:12:33,Cybersecurity / Data Encryption,Conversant,4.7,https://www.youtube.com/watch?v=jhXCTbFnK8o,"Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy.  This course requires the purchase of two books for the completion of assignments:  Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032) Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065)",Average  Cryptography  encryption  hash function  public-key cryptography  string (computer science)  verification and validation  hashing  password  BlockChain computer-science algorithms,TRUE
5,"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",00:31:30,Computer Vision / Machine Learning,Beginner,3.7,https://youtu.be/JkzFjj2hjtw,"In this 1-hour long project-based course, you will learn how to collect and label images and use them to train a Tensorflow CNN (convolutional neural network) model to recognize relevant areas of (typeface) text in any image, video frame or frame from webcam video. You will learn how to extract image segments that your detector has identified as containing text and enhance them using various image filters from the OpenCV module. Then you will learn how to pass the result image to Google's open-source OCR (Optical Character Recognition) software using the pytesseract python library and read the text to whatever form of output you like.   All of this will be done on Windows, but can be accomplished with very little alteration on Linux as well. We will be using the IDLE development environment to write a single script to scan our video, webcam input, or array of images for text and read that text into our output. Tensorflow, the Tensorflow Object Detection API, Tesseract, the pytesseract library, labelImg for image annotation, OpenCV, and all other required software has already been installed for you in your Rhyme desktop.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",image processing  openbsd  optical character recognition  digital image processing  Python Programming  Tensorflow  region of interest  object detection  opencv  Machine Learning data-science machine-learning,FALSE
6,Foundations of Objective-C App Development,00:10:00,Mobile App Development,Beginner,4.7,https://youtu.be/4ByY-X6VaGU?si=8ykeJfmTZslEzX0u,"An introduction to the Objective-C programming language.  This will prepare you for more extensive iOS app development and build a foundation for Advanced iOS development topics.  Objective-C programming requires a Mac laptop or desktop computer.  An iOS device is optional if the learner is willing to working exclusively with the simulator.  Some learners have been able to work with an OS X virtual machine on Windows, but explaining how to do that is beyond the scope of this course.  Upon completing this course, you will be able to: 1.       Read and write Objective-C 2.       Have a strong grasp of Objective-C objects 3.       Organize their code professionally using objects and blocks 4.       Prototype several entry-level apps",iOS Development  printf format string  xcode  c programming  Computer Programming  euler's totient function  objective-c  Swift Programming  c++  ordered pair computer-science mobile-and-web-development,FALSE
7,Introduction to Recommender Systems:  Non-Personalized and Content-Based,00:24:00,Machine Learning / Data Science,Beginner,4.3,https://youtu.be/_hf_y-_sj5Y?list=PLZoTAELRMXVN7QGpcuN-Vg35Hgjp3htvi,"This course, which is designed to serve as the first course in the Recommender Systems specialization, introduces the concept of recommender systems, reviews several examples in detail, and leads you through non-personalized recommendation using summary statistics and product associations, basic stereotype-based or demographic recommendations, and content-based filtering recommendations.   After completing this course, you will be able to compute a variety of recommendations from datasets using basic spreadsheet tools, and if you complete the honors track you will also have programmed these recommendations using the open source LensKit recommender toolkit.    In addition to detailed lectures and interactive exercises, this course features interviews with several leaders in research and practice on Advanced topics and current directions in recommender systems.",demography  Tf Idf  Summary Statistics  recommender systems  information retrieval  recursively enumerable set  personalization  preference  tracking  Machine Learning data-science machine-learning,FALSE
8,Bayesian Statistics: Mixture Models,00:05:00,Statistics / Data Science,Beginner,4.8,https://youtu.be/wT2yLNUfyoM?si=uSTxlSvc5MtDoxzK,"Bayesian Statistics: Mixture Models introduces you to an important class of statistical models. The course is organized in five modules, each of which contains lecture videos, short quizzes, background reading, discussion prompts, and one or more peer-reviewed assignments. Statistics is best learned by doing it, not just watching a video, so the course is structured to help you learn through application.   Some exercises require the use of R, a freely-available statistical software package. A brief tutorial is provided, but we encourage you to take advantage of the many other resources online for learning R if you are interested.  This is an Advanced course, and it was designed to be the third in UC Santa Cruz's series on Bayesian statistics, after Herbie Lee's ""Bayesian Statistics: From Concept to Data Analysis"" and Matthew Heiner's ""Bayesian Statistics: Techniques and Models."" To succeed in the course, you should have some knowledge of and comfort with calculus-based probability, principles of maximum-likelihood estimation, and Bayesian estimation.",data clustering algorithms  Mixture Model  Bayesian Statistics  mixture distribution  markov chain  Algorithms  Studentized Residual  sampling statistics  General Statistics  Bayesian data-science data-analysis,FALSE
9,Mathematics for Machine Learning: Linear Algebra,06:00:00,Machine Learning / Data Science,Beginner,4.5,https://youtu.be/rSjt1E9WHaQ?si=R9xCWHTLJJTuShm-,"In this course on Linear Algebra we look at what linear algebra is and how it relates to vectors and matrices. Then we look through what vectors and matrices are and how to work with them, including the knotty problem of eigenvalues and eigenvectors, and how to use these to solve problems. Finally  we look at how to use these to do fun things with datasets - like how to rotate images of faces and how to extract eigenvectors to look at how the Pagerank algorithm works. Since we're aiming at data-driven applications, we'll be implementing some of these ideas in code, not just on pencil and paper. Towards the end of the course, you'll write code blocks and encounter Jupyter notebooks in Python, but don't worry, these will be quite short, focussed on the concepts, and will guide you through if you�ve not coded before.  At the end of this course you will have an intuitive understanding of vectors and matrices that will help you bridge the gap into linear algebra problems, and how to apply these concepts to machine learning.",Algebra  sigma-algebra  Eigenvalues And Eigenvectors  matrices  linearity  Python Programming  Linear Algebra  pagerank  Vector Projection  transformation matrix data-science machine-learning,FALSE
10,Device-based Models with TensorFlow Lite,02:20:00,Machine Learning / Edge Computing,Beginner,4.6,https://youtu.be/2o07Zv8dcFY?si=A0G9AIlNRK0dv3Wt,"Bringing a machine learning model into the real world involves a lot more than just modeling. This Specialization will teach you how to navigate various deployment scenarios and use data more effectively to train your model.  This second course teaches you how to run your machine learning models in mobile applications. You�ll learn how to prepare models for a lower-powered, battery-operated devices, then execute models on both Android and iOS platforms. Finally, you�ll explore how to deploy on embedded systems using TensorFlow on Raspberry Pi and microcontrollers.  This Specialization builds upon our TensorFlow in Practice Specialization. If you are new to TensorFlow, we recommend that you take the TensorFlow in Practice Specialization first. To develop a deeper, foundational understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.",Deep Learning  raspberry pi  Android Development  Tensorflow  object detection  mathematical optimization  iOS Development  demos  mobile operating systems  microcontroller computer-science software-development,FALSE
